UNITID_P,INSTNM,BRANCH,Address,City,State,ZIP,sector_cd,Sector_desc,men_total,women_total,Total,WEAPON13,DRUG13,LIQUOR13,WEAPON14,DRUG14,LIQUOR14,WEAPON15,DRUG15,LIQUOR15,FILTER13,FILTER14,FILTER15,FID,Longitude,Latitude
100751001,The University of Alabama,Main Campus,1110 Jackson Ave,TUSCALOOSA,AL,354870180,1,"Public, 4-year or above",16564,20534,37098,4,49,3,1,109,25,1,84,10,1,1,1,26,-87.5334958834432,33.2038847722468
109651001,Art Center College of Design,Hillside Campus,1700 LIDA ST,PASADENA,CA,91103,2,"Private nonprofit, 4-year or above",1070,1063,2133,0,0,0,0,0,0,0,0,0,1,1,1,27,-118.186839755963,34.1708239234645
114390001,Fashion Institute of Design & Merchandising-San Francisco,Branch Campus,55 STOCKTON ST,SAN FRANCISCO,CA,94108,3,"Private for-profit, 4-year or above",35,360,395,0,0,0,0,0,0,0,0,0,1,1,1,28,-122.406384523485,37.7864072234539
114415001,Fashion Institute of Design & Merchandising-Orange County,Branch Campus,17590 Gilette Ave,Irvine,CA,926145610,6,"Private for-profit, 2-year",4,88,92,0,0,0,0,0,0,0,0,0,1,1,1,29,-117.853029200101,33.6917787576261
114433001,Feather River Community College District,Main Campus,570 GOLDEN EAGLE AVE,QUINCY,CA,95971,4,"Public, 2-year",921,921,1842,0,0,0,0,0,0,0,0,0,1,1,1,30,-120.969367284545,39.9504772798719
114460001,Federico Beauty Institute,Main Campus,1515 Sports Drive,SACRAMENTO,CA,95834,9,"Private for-profit, less-than 2-year",42,214,256,0,0,0,0,0,0,0,0,0,1,1,1,31,-121.497912083669,38.6483374609105
114549001,Fielding Graduate University,Main Campus,2020 De la Vina Street,SANTA BARBARA,CA,93105,2,"Private nonprofit, 4-year or above",300,868,1168,0,0,0,0,0,0,0,0,0,1,1,1,32,-119.717445858145,34.4291250365013
114585001,Five Branches University,Santa Cruz Campus,200 7TH Avenue,SANTA CRUZ,CA,95062,3,"Private for-profit, 4-year or above",94,238,332,0,0,0,0,0,0,0,0,0,1,1,1,33,-121.998439187261,36.9643879599284
114637001,Redondo Beach Beauty College,Main Campus,2205 W. Artesia Boulevard,Redondo Beach,CA,902783111,9,"Private for-profit, less-than 2-year",4,18,22,NA,NA,NA,0,0,0,0,0,0,0,1,1,34,-118.372161996956,33.8729144860882
114716001,Foothill College,Main Campus,12345 EL MONTE RD,LOS ALTOS HILLS,CA,94022,4,"Public, 2-year",7911,7537,15448,0,1,0,1,3,0,1,6,1,1,1,1,35,-122.122309505942,37.3597441786629
114734001,Franciscan School of Theology,Old Mission San Luis Rey,4050 Mission Ave.,Oceanside,CA,92057,2,"Private nonprofit, 4-year or above",25,23,48,0,0,0,0,0,0,0,0,0,1,1,1,36,-117.318008880877,33.230733093228
114761001,Fredrick and Charles Beauty College,Main Campus,831 F ST,EUREKA,CA,95501,9,"Private for-profit, less-than 2-year",4,55,59,0,1,0,0,0,0,0,0,0,1,1,1,37,-124.165226694831,40.7988738961905
114789001,Fresno City College,Main Campus,1101 E. UNIVERSITY AVE,FRESNO,CA,93741,4,"Public, 2-year",10675,12022,22697,2,10,0,0,4,1,6,8,2,1,1,1,38,-119.798596356909,36.7666152326685
114813001,Fresno Pacific University,FRESNO PACIFIC UNIVERSITY,1717 S CHESTNUT AVE,FRESNO,CA,93702,2,"Private nonprofit, 4-year or above",1031,2311,3342,0,0,0,0,0,0,1,0,0,1,1,1,39,-119.736356259953,36.7260814858636
114840001,Fuller Theological Seminary in California,Fuller Pasadena,135 N OAKLAND AVE,PASADENA,CA,91182,2,"Private nonprofit, 4-year or above",1528,1004,2532,0,0,0,0,0,0,0,0,0,1,1,1,40,-118.139955189183,34.1483075119805
114859001,Fullerton College,FULLERTON COLLEGE,321 E CHAPMAN AVE,FULLERTON,CA,92832,4,"Public, 2-year",11967,12646,24613,1,4,0,1,5,0,0,3,0,1,1,1,41,-117.919200525962,33.8740434896426
114938001,Gavilan College,Main Campus,5055 SANTA TERESA BLVD,GILROY,CA,95020,4,"Public, 2-year",3095,3024,6119,0,0,0,0,0,1,0,0,0,1,1,1,42,-121.565210184358,36.9716213782806
114947001,Gemological Institute of America-Carlsbad,Main Campus,5345 ARMADA DR,CARLSBAD,CA,920084602,8,"Private nonprofit, less-than 2-year",94,124,218,0,0,0,0,0,0,0,1,0,1,1,1,43,-117.317629285178,33.131492542327
115001001,Glendale Community College,Main (Verdugo) Campus,1500 N. Verdugo Rd.,Glendale,CA,912082894,4,"Public, 2-year",7267,8321,15588,0,3,1,0,4,0,0,2,0,1,1,1,44,-118.228452161544,34.168644000056
115010001,Glendale Career College,Main Campus,240 N. Brand Blvd,GLENDALE,CA,91203,6,"Private for-profit, 2-year",58,229,287,0,0,0,0,0,0,0,0,0,1,1,1,45,-118.254927787501,34.1496990000057
115083001,Golden Gate University-San Francisco,San Francisco,536 Mission St.,San Francisco,CA,941052968,2,"Private nonprofit, 4-year or above",1233,1502,2735,0,0,0,0,0,0,0,0,0,1,1,1,46,-122.398581612298,37.7890082114448
115126001,Golden West College,Golden West College,15744 GOLDEN WEST,HUNTINGTON BEACH,CA,926472710,4,"Public, 2-year",5739,6354,12093,0,1,0,0,2,0,0,1,0,1,1,1,47,-118.006776985668,33.7319285863748
115214001,Graduate Theological Union,Main Campus,2400 RIDGE RD,BERKELEY,CA,94709,2,"Private nonprofit, 4-year or above",124,84,208,0,0,0,0,0,0,0,0,0,1,1,1,48,-122.261700136364,37.8758346302134
115296001,Grossmont College,GROSSMONT COLLEGE,8800 GROSSMONT COLLEGE DR,EL CAJON,CA,92020,4,"Public, 2-year",7901,10258,18159,1,2,2,0,1,0,1,3,2,1,1,1,49,-117.008316434799,32.8145594026687
115357001,Salon Success Academy-Riverside,Salon Success Academy,6780 Indiana Avenue Ste 200,Riverside,CA,92506,9,"Private for-profit, less-than 2-year",2,28,30,0,0,0,0,0,0,0,0,0,1,1,1,50,-117.392083538794,33.942866417151
115393001,Hartnell College,Main Campus,411 Central Avenue,SALINAS,CA,93901,4,"Public, 2-year",6199,4977,11176,0,2,3,1,4,0,0,2,0,1,1,1,51,-121.66532332376,36.675472287639
115409001,Harvey Mudd College,Main Campus,301 Platt Boulevard,Claremont,CA,917113947,2,"Private nonprofit, 4-year or above",443,382,825,0,0,2,0,0,0,0,0,0,1,1,1,52,-117.711271316665,34.105502428617
